state,year,Cardiovascular diseases,Chronic respiratory diseases,Mental disorders,Other mental disorders,Neurological disorders,Other neurological disorders,fire_area,pressure,temperature,co,no2,o3,pm10,ch2o,rh,wd,ws,pm25
Alabama,1990,44460.1018066973,37562.3235684137,256399.089252756,NA,564318.424749635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alabama,1991,44206.020012370704,37670.872281464,262572.466127093,NA,567135.896254486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alabama,1992,44093.8915799777,37867.8119622145,262699.899811774,NA,570142.74677984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alabama,1993,44281.6334853128,38123.6846796898,266309.705617013,NA,573589.942388069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alabama,1994,44530.5256400977,38380.1053576413,246998.369254495,NA,577373.306892365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alabama,1995,45208.6124239612,38681.9351460869,250815.091335783,NA,581508.423556108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alabama,1996,46113.5607009153,39213.8380826309,255177.345791428,NA,585729.217705528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alabama,1997,47592.8061500558,40117.3128935171,259612.417350333,NA,590325.970208033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alabama,1998,49104.9672881212,41178.5506800553,288786.85902363,NA,594642.376054283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alabama,1999,50610.9498502251,42217.3560072067,293874.028495038,NA,599162.291318737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alabama,2000,51778.9343119304,43001.8327108804,298966.426883506,NA,603435.978467202,NA,4.020867097135067,753.3675705882353,18.416593911764707,0.977392,10.86777,0.05172725,18.927628,NA,NA,NA,NA,NA
Alabama,2001,52369.8465182837,43449.2603853463,274714.425978354,NA,605504.885763526,NA,131.43567008183336,753.5711298648648,16.941011135135135,1.1903456666666665,8.394646,0.04571065151515152,16.559002,NA,NA,NA,NA,NA
Alabama,2002,52793.5652004856,43791.4800798127,301689.280782262,NA,606757.997404012,NA,105.64825902909972,752.7954993636364,18.347702159090908,0.6715165,5.865513,0.045043693333333336,15.390236,1.816298,80.658626,176.1606152,2.6783668333333335,NA
Alabama,2003,53069.0140517573,44167.1605331418,310693.33121734,NA,609162.812119513,NA,151.00365329850126,751.0783707777778,19.339745466666667,0.407912,6.1687259999999995,0.04405596296296296,22.620606875,1.7630466666666667,77.7131072,189.4206484,2.927452,NA
Alabama,2004,53077.9494918035,44506.3638878837,314883.881663034,NA,611946.885498497,NA,424.2387747237374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alabama,2005,53531.6547685518,44929.0017251754,318742.064397768,NA,617053.663780327,NA,245.83661749245084,749.3477712291667,18.042049625,0.6928873333333333,5.236287,0.04588396296296296,25.788633818181818,2.735325875,NA,NA,5.153369,NA
Alabama,2006,53456.1156849775,45467.828060251,323388.389590306,NA,624814.777275851,NA,282.652408759311,749.3549841276596,18.12837519148936,0.7334543333333333,NA,0.04951291358024691,25.062256444444444,2.82499175,NA,NA,NA,NA
Alabama,2007,53293.1362562645,46088.6968484773,326994.10154411,NA,630275.953333407,NA,320.19806554141763,748.757596125,19.152977725,0.6256873333333334,NA,0.049914515151515154,27.6282155,NA,NA,NA,NA,NA
Alabama,2008,53161.5730920388,46768.7242478478,328342.456633276,NA,636019.420867769,NA,634.8679631521783,748.3724048717949,18.025227179487178,0.6429043333333333,NA,0.044206375,22.42605111111111,NA,NA,NA,NA,NA
Alabama,2009,52847.1391013829,47308.0405533645,333300.592536974,NA,641079.628900321,NA,377.70607328687686,748.5772810930232,17.546016372093025,0.5354746666666667,NA,0.038665773333333334,18.66512795,NA,82.871324,163.493551,2.710979,8.8341380625
Alabama,2010,53092.7476933998,47664.3243116286,334760.884659936,NA,645212.494042076,NA,176.05181756463824,747.6769504878049,17.49415675609756,0.36814800000000003,NA,0.04643057692307692,23.045200214285714,NA,NA,189.190751,3.684971,12.658278458333333
Alabama,2011,53533.437245609,47767.0918661256,338350.706542582,NA,648700.734554008,NA,450.1870486357537,748.0326717804878,17.802006463414635,0.3420615,NA,0.04530037333333333,21.1347032,NA,62.345484,160.760474,2.659969,NA
Alabama,2012,54308.6808286793,47868.3776880874,340951.889022578,NA,652701.666779099,NA,150.47057198681816,748.5841653870967,18.64201406451613,0.365398,NA,0.04421488888888889,19.7898563,NA,68.433735,170.588855,1.769305,NA
Alabama,2013,54974.4719957666,47934.4455299672,341917.139064959,NA,656533.880594109,NA,338.59988407000327,749.60432253125,17.57951790625,0.33837275,12.062111,0.03973288405797101,19.6354036,NA,68.884633,165.439809,NA,12.125714
Alabama,2014,55732.376034286,48076.9827129787,342804.785666108,NA,659747.577691905,NA,289.46489518281743,748.9433086666667,17.27334593939394,0.3659695,11.624116,0.04093649275362319,19.39747025,NA,66.4264885,180.830096,NA,11.56935975
Alabama,2015,56573.6831199621,48423.854361643,342008.949463394,NA,662526.144157896,NA,433.92951744714185,749.5381842121212,17.806390242424243,0.38404574999999996,11.1970445,0.03906339130434783,19.167967,NA,69.139696,163.1888275,NA,11.555282
Alabama,2016,57333.7810504746,48859.2645041822,346419.049981501,NA,664900.717752679,NA,186.3628832292476,749.0674869285714,18.02407392857143,0.3350456666666667,11.590768,0.042857376811594204,18.33065375,NA,68.17099933333333,175.98003866666667,NA,10.457407
Alabama,2017,58488.0727396635,49371.4555731546,340905.086576029,NA,667734.195279386,NA,298.47446503120807,746.535268,19.032521714285714,0.293233,10.216427,0.03942802898550725,16.5843405,NA,50.17508266666667,174.56607266666668,NA,11.9924405
Alabama,2018,59639.4754013477,49881.6435457865,351862.771327008,NA,670825.121413777,NA,199.76175402079045,747.1264037857143,18.0343355,0.25429833333333335,9.6382655,0.04027168181818182,16.96844325,NA,49.39904,175.43353533333334,NA,9.355224
Alabama,2019,60742.0094210656,50419.0247277062,336401.466096457,NA,674323.753113999,NA,256.29022008559656,746.1748995,18.707772785714287,0.29827133333333333,10.9935805,0.04123351515151515,22.17634375,NA,53.84415766666667,127.05672166666666,NA,9.016707
Alabama,2020,61658.4114347699,50949.6808288805,555419.476848392,NA,677461.791988999,NA,206.75336519817608,746.8566177499999,18.402447666666667,0.259608,9.4533615,0.036614183333333335,11.824252999999999,NA,70.27584233333333,173.67102933333334,NA,8.508565
Alabama,2021,60835.8888220431,51747.0794755317,536053.693629968,NA,681345.693507715,NA,261.16745501686574,746.6803684722222,18.189930722222222,0.282044,9.3294105,0.0376044,13.582518,NA,68.5570802,147.83527999999998,NA,8.4331676
Alabama,2022,60482.8423406102,52983.7966811579,424641.565111054,NA,686026.285836093,NA,267.55000057375076,747.1098760833333,17.42461175,0.214251,8.540821,0.03999821666666667,13.033863499999999,NA,67.44632833333333,97.71122333333332,NA,8.229194159090909
Alabama,2023,62317.0077749617,55205.6964817095,334612.903423836,NA,691339.811864522,NA,112.61057373787511,747.71263,19.167975181818182,0.17991300000000002,8.8237445,0.0432223,14.5790275,NA,69.720014,179.83454433333333,NA,8.370108014705883
Hawaii,1990,9890.24045052545,9636.72932370421,49418.8124216037,NA,154436.297206889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hawaii,1991,9915.43897001924,9704.73756623227,54719.2995962032,NA,155616.191839998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hawaii,1992,9939.38808367716,9777.71657371073,50708.8050502147,NA,156690.274278574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hawaii,1993,10038.0962321255,9851.90526747093,51356.7667224784,NA,157708.945267306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hawaii,1994,10158.1021488807,9920.7858484959,52001.7922610285,NA,158688.616254201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hawaii,1995,10414.8804245043,9999.31303673598,52649.0817016233,NA,159681.636968645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hawaii,1996,10757.1970036375,10126.360407733,53321.0764443956,NA,160691.114301066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hawaii,1997,11196.9237417212,10345.4986974549,54016.1920646697,NA,161776.836190972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hawaii,1998,11708.5157408175,10602.2650367867,54755.3909503438,NA,162949.54816789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hawaii,1999,12173.7757191979,10844.3295881272,55550.3365189581,NA,164264.87029699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hawaii,2000,12565.5296436316,11017.6037772265,58316.4787403476,NA,165729.667249042,NA,NA,764.517525,24.857409833333335,0.489248,4.0795960000000004,0.022072333333333333,12.743381750000001,NA,95.1651875,45.9776705,5.6708415,NA
Hawaii,2001,12759.2876923477,11091.0288258207,61889.3635031713,NA,166729.621149457,NA,NA,764.822341,25.177212333333333,0.5271465,3.957526,0.022276333333333332,11.5462472,NA,89.67333233333333,54.551708000000005,7.306762333333333,NA
Hawaii,2002,12918.5661826203,11184.0081526362,60912.7852994955,NA,168003.220542105,NA,NA,761.74195825,23.605442,0.5970884,4.597319499999999,0.022825333333333333,11.3653746,1.011667,89.54254399999999,62.65740266666666,6.856806333333333,NA
Hawaii,2003,12956.4675357311,11262.3981952374,62040.9977417791,NA,168848.976527041,NA,51.84905835725402,762.5027938,24.8427462,0.5159682,4.4192149999999994,0.026283333333333332,6.1337375000000005,1.499661,86.44909666666666,72.28336966666667,6.630957666666667,NA
Hawaii,2004,13065.5164773497,11455.0582837003,62874.4739594605,NA,171359.863288762,NA,8.408958758876699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hawaii,2005,13214.9856599446,11638.6182593015,63349.810037064,NA,173661.606649687,NA,60.8306934947994,761.669248,24.8311018,0.512499,4.083291,NA,5.11129,1.380755,87.305552,72.2656975,8.7672655,NA
Hawaii,2006,13350.3443772226,11797.5911371209,63905.2752026733,NA,175850.81386475,NA,11.820036477097986,759.4172864,24.672463399999998,0.40768666666666664,4.0657635,NA,4.6714765,1.347647,89.3717255,69.3170995,8.3962465,NA
Hawaii,2007,13434.9393402331,11893.9847637851,63899.2530357571,NA,176517.715069447,NA,59.150803988216396,760.4995366,24.5472548,0.38510099999999997,3.7713209999999995,NA,4.680472,1.570377,89.1035985,65.50293049999999,8.664455499999999,NA
Hawaii,2008,13526.6804988404,12081.2190456663,64050.768449962,NA,178535.632389866,NA,14.846514205898284,761.8291316,24.514772,0.376912,3.456822,NA,5.889302,1.197143,87.871339,62.6643155,8.1652295,8.75005898076923
Hawaii,2009,13675.4609407808,12262.0555844093,64568.6542062297,NA,180252.324408856,NA,14.52403688525784,760.8151182500001,24.4536475,0.3488055,3.8304609999999997,NA,5.907263666666666,1.286721,89.040686,70.9080925,8.126354,7.043750875
Hawaii,2010,13848.6210710291,12430.8731712283,65230.3574197025,NA,182296.498390538,NA,13.550684559345722,762.3153755,24.910956499999998,0.286609,2.6087675,NA,4.859542333333334,1.291311,86.7607605,68.7223385,8.950386,7.097837766666666
Hawaii,2011,14127.8639085079,12587.1366050683,66739.3573388092,NA,184824.282620631,NA,3.0153885302705765,762.644258,24.968998,0.35764225,2.606427,0.032056,4.0859863333333335,1.523333,83.05062866666667,66.17825966666666,8.6679755,6.0352961
Hawaii,2012,14405.3377329342,12716.7874973174,68102.3942072716,NA,187304.291228363,NA,2.806407855441093,762.3250175000001,25.029992999999997,0.3990075,2.8539125,0.029059666666666668,4.68551,NA,81.57113166666666,78.86346733333333,8.785417,7.600873074074074
Hawaii,2013,14697.3646754052,12816.3754759315,69058.7516923009,NA,189434.361241156,NA,NA,762.7578169999999,25.468953499999998,0.42422725,2.6169770000000003,0.032169333333333335,4.385624,NA,83.09931733333333,80.20967033333334,7.706062,6.857369479166667
Hawaii,2014,15000.7564182119,12879.3795263436,69657.3845989089,NA,190507.810228571,NA,NA,760.574468,25.22375,0.353754,2.9349629999999998,0.026763666666666665,3.9840245000000003,NA,81.76479566666667,82.44693766666667,7.502046,6.468196814814815
Hawaii,2015,15302.3652488662,12986.867530546,69934.2471562909,NA,191554.535737436,NA,NA,761.1768125000001,26.6162255,0.43791033333333335,2.9031005,0.028718333333333332,4.54584,NA,84.05740133333333,83.02406666666667,7.5029155,6.800862538461539
Hawaii,2016,15535.73077689,13097.5615492524,70827.1789535025,NA,192080.200640403,NA,26.363348266944527,760.2031325,25.986098499999997,0.3775596666666667,3.452562,0.02969,4.178102,NA,80.89729966666667,76.97483633333333,8.084517,8.028354057692308
Hawaii,2017,15812.5070650049,13150.6000900705,69521.9622755388,NA,191420.119606984,NA,3.4425616420491,759.1953625,26.142718000000002,0.286137,3.117345,0.030099,3.9446969999999997,NA,78.959756,80.824539,8.0904345,6.28850926923077
Hawaii,2018,16086.0753780862,13191.7382390784,71995.5195881433,NA,190761.645432728,NA,89.20564118120609,755.511081,24.566201,0.34391,4.2254535,0.03169966666666667,4.122991000000001,NA,82.548698,84.17046133333334,7.8828365,5.9855053518518515
Hawaii,2019,16434.1770894547,13222.7892153604,67854.3398637608,NA,189651.692870457,NA,44.50653339550328,755.5707216666666,24.958905,0.19349433333333332,4.1693735,0.028914666666666665,2.7417875,NA,78.17199049999999,74.9101445,6.272868,2.4687143703703702
Hawaii,2020,16671.6194343057,13220.3787444931,104193.827024685,NA,188206.201103911,NA,38.84534830059337,757.6846345,24.41011875,0.182395,3.2556515,0.026604666666666665,2.3831664999999997,NA,77.050342,71.7577615,6.923033,2.6012283703703702
Hawaii,2021,16988.3305957035,13371.1548398106,100384.454953994,NA,187382.767470957,NA,173.75334964361048,762.0506413333334,26.004198666666667,0.21731033333333333,2.6467935,0.025721333333333332,2.5370394999999997,NA,77.405292,70.067554,6.85019,2.913315
